g_id,node,charge,chem,symbol,x,y
6678,_1,0,1,C,4.5981,-0.25
6678,_2,0,1,C,5.4641,0.25
6678,_3,0,1,C,3.7321,0.25
6678,_4,0,1,C,6.3301,-0.25
6678,_5,0,1,C,2.866,-0.25
6678,_6,0,1,C,7.1962,0.25
6678,_7,0,2,O,2,0.25
6678,_8,0,2,O,2.866,-1.25
6678,_9,0,2,O,8.0622,-0.25
6678,_10,0,2,O,7.1962,1.25
34214,_1,0,1,C,3.7321,0.75
34214,_2,0,1,C,2.866,0.25
34214,_3,0,4,N,2.866,-0.75
34214,_4,0,1,C,3.732,-1.25
34214,_5,0,4,N,4.5981,-0.75
34214,_6,0,1,C,4.5981,0.25
34214,_7,0,4,N,3.7321,1.75
34214,_8,0,2,O,4.5981,2.25
34214,_9,0,4,N,2,0.75
34214,_10,0,2,O,5.4641,0.75
34214,_11,0,4,N,3.732,-2.25
27931,_1,0,1,C,8.3292,0.7991
27931,_2,0,2,O,8.0202,-0.1519
27931,_3,0,1,C,8.8292,-0.7397
27931,_4,0,1,C,9.6382,-0.1519
27931,_5,0,1,C,9.3292,0.7991
27931,_6,0,4,N,8.8292,-1.7397
27931,_7,0,1,C,7.9632,-2.2397
27931,_8,0,4,N,7.9632,-3.2397
27931,_9,0,1,C,8.8292,-3.7397
27931,_10,0,1,C,9.6952,-3.2397
27931,_11,0,1,C,9.6952,-2.2397
27931,_12,0,1,C,10.5612,-3.7397
27931,_13,0,2,O,8.8292,-4.7397
27931,_14,0,2,O,7.0972,-1.7397
27931,_15,0,4,N,9.917,1.6081
27931,_16,1,4,N,10.9115,1.5036
27931,_17,-1,4,N,11.906,1.3991
27931,_18,0,1,C,7.7414,1.6082
27931,_19,0,2,O,6.7469,1.5036
27931,_20,0,6,P,6.1591,2.3126
27931,_21,0,2,O,6.9681,2.9004
27931,_22,0,2,O,5.5713,3.1217
27931,_23,0,2,O,5.3501,1.7249
27931,_24,0,1,C,5.4546,0.7303
27931,_25,0,1,C,4.6456,0.1426
27931,_26,0,2,O,4.7501,-0.852
27931,_27,0,1,C,3.7321,0.5493
27931,_28,0,1,C,2.8185,0.956
27931,_29,0,1,C,4.1388,1.4628
27931,_30,0,1,C,3.3253,-0.3642
27931,_31,0,1,C,4.5768,3.0171
27931,_32,0,1,C,3.989,3.8262
27931,_33,0,2,O,4.3958,4.7397
27931,_34,0,1,C,2.9945,3.7216
27931,_35,0,1,C,2,3.6171
27931,_36,0,1,C,3.099,2.7271
27931,_37,0,1,C,2.89,4.7162
244,_1,0,5,S,4.0823,1.6307
244,_2,0,2,O,4.0823,2.6307
244,_3,0,2,O,3.0823,1.6307
244,_4,0,2,O,5.0823,1.6307
244,_5,0,1,C,4.0823,0.6307
244,_6,0,2,O,3.2733,0.0429
244,_7,0,1,C,4.8913,0.0429
244,_8,0,1,C,3.5823,-0.9081
244,_9,0,1,C,4.5823,-0.9081
244,_10,0,1,C,2.9945,-1.7172
244,_11,0,2,O,3.4013,-2.6307
244,_12,0,2,O,2,-1.6126
9903,_1,0,1,C,3.7321,0.183
9903,_2,0,5,S,2.866,-0.317
9903,_3,0,1,C,4.5981,-0.317
9903,_4,0,4,N,3.7321,1.183
9903,_5,0,2,O,2,-0.817
9903,_6,0,2,O,3.366,-1.183
9903,_7,0,2,O,2.366,0.549
9903,_8,0,1,C,5.4641,0.183
9903,_9,0,1,C,6.3301,-0.317
21824,_1,0,1,C,2,-0.25
21824,_2,0,1,C,2.866,0.25
21824,_3,0,1,C,3.7321,-0.25
21824,_4,0,5,S,3.7321,-1.25
21824,_5,0,4,N,4.5981,0.25
21824,_6,0,2,O,5.4641,-0.25
21824,_7,0,1,C,4.5981,1.25
2425,_1,0,1,C,3.7321,1.75
2425,_2,0,4,N,4.5981,2.25
2425,_3,0,2,O,2.866,2.25
2425,_4,0,1,C,3.7321,0.75
2425,_5,0,1,C,2.866,0.25
2425,_6,0,1,C,4.5981,0.25
2425,_7,0,4,N,2.866,-0.75
2425,_8,0,1,C,4.5981,-0.75
2425,_9,0,1,C,2,-1.25
2425,_10,0,1,C,3.7321,-1.25
2425,_11,0,4,N,3.732,-2.25
16,_1,0,6,P,3,0.25
16,_2,0,2,O,3,1.25
16,_3,0,4,N,2,0.25
16,_4,0,2,O,4,0.25
16,_5,0,1,C,3,-0.75
16,_6,0,1,C,3.866,1.75
16,_7,0,1,C,2.134,-1.25
16,_8,0,1,C,3.866,-1.25
16,_9,0,1,C,3.866,2.75
16,_10,0,1,C,2.134,-2.25
16,_11,0,1,C,3.866,-2.25
16,_12,0,1,C,3,-2.75
42356,_1,0,1,C,5.5322,-1.1325
42356,_2,0,1,C,5.8412,-2.0835
42356,_3,0,1,C,5.0322,-2.6713
42356,_4,0,2,O,4.2231,-2.0835
42356,_5,0,1,C,4.5322,-1.1325
42356,_6,0,4,N,5.0322,-3.6713
42356,_7,0,1,C,5.8982,-4.1713
42356,_8,0,1,C,5.8982,-5.1713
42356,_9,0,1,C,5.0322,-5.6713
42356,_10,0,1,C,4.1661,-4.1713
42356,_11,0,2,O,3.3001,-3.6713
42356,_12,0,4,N,4.1661,-5.1713
42356,_13,0,2,O,5.0321,-6.6713
42356,_14,0,1,C,6.7642,-5.6713
42356,_15,0,1,C,3.9444,-0.3235
42356,_16,0,2,O,4.3511,0.5901
42356,_17,0,6,P,3.7633,1.3991
42356,_18,0,2,O,2.9543,0.8113
42356,_19,0,1,C,3.5823,3.1217
42356,_20,0,1,C,2.9945,3.9307
42356,_21,0,2,O,2,3.8262
42356,_22,0,1,C,5.4859,1.5801
42356,_23,0,1,C,6.2949,2.1679
42356,_24,0,2,O,3.1756,2.2081
42356,_25,0,2,O,4.5724,1.9869
42356,_26,0,2,O,6.1904,3.1625
42356,_27,0,1,C,7.2085,1.7612
42356,_28,0,1,C,7.313,0.7667
42356,_29,0,1,C,8.2265,0.3599
42356,_30,0,1,C,9.0356,0.9477
42356,_31,0,1,C,8.931,1.9422
42356,_32,0,1,C,8.0175,2.349
42356,_33,0,1,C,3.4013,4.8442
42356,_34,0,1,C,2.8135,5.6533
42356,_35,0,1,C,3.2202,6.5668
42356,_36,0,1,C,4.2147,6.6713
42356,_37,0,1,C,4.8025,5.8623
42356,_38,0,1,C,4.3958,4.9488
166,_1,0,4,N,2.866,1.75
166,_2,0,2,O,3.7321,2.25
166,_3,0,1,C,2.866,0.75
166,_4,0,1,C,2,0.25
166,_5,0,1,C,3.7321,0.25
166,_6,0,1,C,2,-0.75
166,_7,0,1,C,3.7321,-0.75
166,_8,0,1,C,2.866,-1.25
166,_9,0,2,O,2.866,-2.25
16045,_1,0,1,C,6.3301,-0.25
16045,_2,0,1,C,5.4641,0.25
16045,_3,0,2,O,5.4641,1.25
16045,_4,0,1,C,4.5981,-0.25
16045,_5,0,2,O,4.5981,-1.25
16045,_6,0,1,C,3.7321,0.25
16045,_7,0,2,O,3.7321,1.25
16045,_8,0,1,C,2.866,-0.25
16045,_9,0,1,C,2,0.25
16045,_10,0,1,C,2.866,-1.25
16045,_11,0,1,C,7.1962,0.25
16045,_12,0,1,C,6.3301,-1.25
26581,_1,0,4,N,2.866,-1
26581,_2,0,1,C,2.866,0
26581,_3,0,1,C,3.7321,0.5
26581,_4,0,1,C,4.5981,0
26581,_5,0,1,C,4.5981,-1
26581,_6,0,1,C,3.732,-1.5
26581,_7,0,4,N,3.732,-2.5
26581,_8,0,1,C,5.4641,-1.5
26581,_9,0,4,N,6.3301,-2
26581,_10,0,1,C,3.7321,1.5
26581,_11,0,4,N,3.7321,2.5
26581,_12,0,4,N,2,0.5
1132,_1,0,1,C,2.866,0.25
1132,_2,0,4,N,3.7321,0.75
1132,_3,0,4,N,2,0.75
1132,_4,0,2,O,2.866,-0.75
1132,_5,0,2,O,4.5981,0.25
20698,_1,0,4,N,2,-0.25
20698,_2,0,1,C,2.866,0.25
20698,_3,0,4,N,3.7321,0.75
20698,_4,0,1,C,4.5981,0.25
20698,_5,0,4,N,5.4641,0.75
20698,_6,0,1,C,6.3301,0.25
20698,_7,0,4,N,4.5981,-0.75
20698,_8,0,1,C,7.1962,0.75
20698,_9,0,1,C,6.3301,-0.75
34759,_1,2,34,Pt,2.9511,0.8649
34759,_2,-1,7,Cl,2.3633,1.6739
34759,_3,0,4,N,3.9021,0.5559
34759,_4,0,4,N,2,0.5559
34759,_5,1,4,N,2.9511,-0.1351
34759,_6,0,1,C,2.142,-0.7229
34759,_7,0,2,O,2.451,-1.6739
34759,_8,0,1,C,3.451,-1.6739
34759,_9,0,1,C,3.7601,-0.7229
34759,_10,-1,7,Cl,3.5388,1.6739
2340,_1,0,4,N,4.5981,1.75
2340,_2,0,1,C,4.5981,2.75
2340,_3,0,1,C,5.4641,3.25
2340,_4,0,1,C,3.7321,3.25
2340,_5,0,1,C,5.4641,4.25
2340,_6,0,1,C,6.3301,2.75
2340,_7,0,5,S,2.866,2.75
2340,_8,0,1,C,3.7321,4.25
2340,_9,0,1,C,4.5981,4.75
2340,_10,0,1,C,6.3301,4.75
2340,_11,0,2,O,6.3301,1.75
2340,_12,0,1,C,7.1962,3.25
2340,_13,0,2,O,2,2.25
2340,_14,0,2,O,3.366,1.884
2340,_15,0,2,O,2.366,3.6161
2340,_16,0,5,S,4.5981,5.75
2340,_17,0,1,C,7.1962,4.25
2340,_18,0,4,N,8.0622,2.75
2340,_19,0,2,O,4.5981,6.75
2340,_20,0,2,O,5.5981,5.75
2340,_21,0,2,O,3.5981,5.75
2340,_22,0,4,N,8.9282,3.25
2340,_23,0,1,C,9.7942,2.75
2340,_24,0,1,C,10.6603,3.25
2340,_25,0,1,C,9.7942,1.75
2340,_26,0,1,C,10.6603,4.25
2340,_27,0,1,C,11.5263,2.75
2340,_28,0,1,C,10.6603,1.25
2340,_29,0,1,C,11.5263,1.75
2340,_30,0,1,C,12.3923,1.25
2340,_31,0,1,C,13.2583,1.75
2340,_32,0,1,C,12.3923,0.25
2340,_33,0,1,C,14.1244,1.25
2340,_34,0,1,C,13.2583,-0.25
2340,_35,0,1,C,14.9904,1.75
2340,_36,0,1,C,14.1243,0.25
2340,_37,0,4,N,14.9904,-0.25
2340,_38,0,4,N,14.9904,-1.25
2340,_39,0,1,C,15.8564,-1.75
2340,_40,0,1,C,15.8564,-2.75
2340,_41,0,1,C,16.7224,-1.25
2340,_42,0,2,O,14.9904,-3.25
2340,_43,0,1,C,16.7224,-3.25
2340,_44,0,1,C,17.5884,-1.75
2340,_45,0,1,C,17.5884,-2.75
2340,_46,0,1,C,16.7224,-4.25
2340,_47,0,1,C,18.4545,-3.25
2340,_48,0,4,N,15.8564,-4.75
2340,_49,0,1,C,17.5884,-4.75
2340,_50,0,5,S,19.3205,-2.75
2340,_51,0,1,C,18.4545,-4.25
2340,_52,0,5,S,17.5884,-5.75
