g_id,src,dst,label
image7_49,0,7,7
image7_49,0,6,7
image7_49,0,2,7
image7_49,1,5,7
image7_49,1,6,7
image7_49,3,9,7
image7_49,4,8,7
image7_49,4,7,7
image7_49,5,9,7
image7_49,8,9,7
image21_30,0,8,21
image21_30,0,4,21
image21_30,1,9,21
image21_30,1,10,21
image21_30,2,12,21
image21_30,2,11,21
image21_30,3,8,21
image21_30,3,7,21
image21_30,3,4,21
image21_30,4,6,21
image21_30,5,11,21
image21_30,5,12,21
image21_30,6,7,21
image21_30,9,13,21
image21_30,10,13,21
image17_38,0,2,17
image17_38,0,4,17
image17_38,1,5,17
image17_38,1,6,17
image17_38,2,5,17
image17_38,2,6,17
image17_38,4,6,17
image17_49,0,2,17
image17_49,0,16,17
image17_49,1,14,17
image17_49,1,13,17
image17_49,2,12,17
image17_49,2,11,17
image17_49,3,7,17
image17_49,3,10,17
image17_49,3,8,17
image17_49,4,8,17
image17_49,4,5,17
image17_49,5,15,17
image17_49,6,8,17
image17_49,6,15,17
image17_49,7,9,17
image17_49,7,12,17
image17_49,9,13,17
image17_49,10,13,17
image17_49,11,15,17
image17_49,11,16,17
image17_49,12,14,17
image11_18,0,15,11
image11_18,0,5,11
image11_18,0,6,11
image11_18,1,7,11
image11_18,1,8,11
image11_18,2,7,11
image11_18,3,4,11
image11_18,3,10,11
image11_18,3,8,11
image11_18,6,11,11
image11_18,6,10,11
image11_18,7,10,11
image11_18,8,14,11
image11_18,9,13,11
image11_18,11,16,11
image11_18,12,14,11
image11_18,13,15,11
image11_18,14,15,11
image2_10,0,10,2
image2_10,0,1,2
image2_10,0,4,2
image2_10,1,2,2
image2_10,2,3,2
image2_10,3,4,2
image2_10,5,6,2
image2_10,5,10,2
image2_10,6,8,2
image2_10,6,9,2
image2_10,7,8,2
image2_10,7,9,2
image20_11,0,7,20
image20_11,0,13,20
image20_11,0,10,20
image20_11,1,8,20
image20_11,1,4,20
image20_11,1,7,20
image20_11,2,9,20
image20_11,2,5,20
image20_11,2,7,20
image20_11,3,12,20
image20_11,3,11,20
image20_11,4,12,20
image20_11,5,13,20
image20_11,5,10,20
image20_11,8,9,20
image20_11,10,11,20
image15_38,0,2,15
image15_38,0,22,15
image15_38,1,9,15
image15_38,1,11,15
image15_38,2,18,15
image15_38,2,20,15
image15_38,3,12,15
image15_38,3,23,15
image15_38,4,15,15
image15_38,4,23,15
image15_38,5,8,15
image15_38,5,12,15
image15_38,6,23,15
image15_38,6,7,15
image15_38,7,16,15
image15_38,8,21,15
image15_38,8,19,15
image15_38,9,17,15
image15_38,10,19,15
image15_38,10,16,15
image15_38,11,22,15
image15_38,12,13,15
image15_38,13,21,15
image15_38,14,16,15
image15_38,14,15,15
image15_38,17,18,15
image2_43,0,2,2
image2_43,1,3,2
image2_43,1,2,2
image9_9,0,1,9
image9_9,0,4,9
image9_9,1,2,9
image9_9,2,4,9
image9_9,3,5,9
image9_9,3,6,9
image9_9,5,7,9
image9_9,6,7,9
image2_39,0,8,2
image2_39,0,6,2
image2_39,1,12,2
image2_39,1,7,2
image2_39,2,9,2
image2_39,2,5,2
image2_39,3,13,2
image2_39,3,9,2
image2_39,4,11,2
image2_39,4,6,2
image2_39,5,13,2
image2_39,7,9,2
image2_39,8,11,2
image2_39,10,11,2
image2_39,10,12,2
image14_13,0,2,14
image14_13,0,3,14
image14_13,0,9,14
image14_13,1,7,14
image14_13,1,8,14
image14_13,1,10,14
image14_13,2,4,14
image14_13,2,5,14
image14_13,3,6,14
image14_13,4,12,14
image14_13,4,6,14
image14_13,6,10,14
image14_13,8,12,14
image14_13,10,11,14
image10_21,0,3,10
image10_21,2,3,10
image10_21,2,5,10
image10_21,2,4,10
image8_9,0,1,8
image8_9,1,2,8
image14_24,0,1,14
image14_24,0,7,14
image14_24,0,9,14
image14_24,1,11,14
image14_24,1,2,14
image14_24,3,10,14
image14_24,4,11,14
image14_24,5,7,14
image14_24,5,6,14
image14_24,5,10,14
image14_24,7,8,14
image14_24,8,11,14
image14_24,9,10,14
image19_41,0,1,19
image19_41,0,2,19
