g_id,node,type,x,y
image7_49,0,intersection,458,264
image7_49,1,corner,331,510
image7_49,2,endpoint,490,244
image7_49,3,endpoint,6,281
image7_49,4,corner,483,117
image7_49,5,corner,54,406
image7_49,6,corner,442,258
image7_49,7,corner,449,236
image7_49,8,corner,182,23
image7_49,9,intersection,80,277
image21_30,0,corner,313,194
image21_30,1,corner,389,50
image21_30,2,corner,194,150
image21_30,3,intersection,233,262
image21_30,4,intersection,313,271
image21_30,5,corner,318,350
image21_30,6,corner,294,328
image21_30,7,corner,221,330
image21_30,8,corner,220,184
image21_30,9,corner,139,64
image21_30,10,corner,392,472
image21_30,11,corner,325,160
image21_30,12,corner,202,349
image21_30,13,corner,138,451
image17_38,0,corner,516,177
image17_38,1,corner,-10,321
image17_38,2,intersection,363,181
image17_38,3,circle,464,241
image17_38,4,corner,543,328
image17_38,5,corner,-4,180
image17_38,6,intersection,369,335
image17_49,0,corner,524,186
image17_49,1,corner,7,303
image17_49,2,intersection,473,205
image17_49,3,intersection,477,293
image17_49,4,corner,498,307
image17_49,5,corner,522,282
image17_49,6,corner,510,265
image17_49,7,intersection,424,282
image17_49,8,intersection,458,295
image17_49,9,corner,383,278
image17_49,10,corner,443,324
image17_49,11,intersection,506,253
image17_49,12,intersection,411,218
image17_49,13,intersection,417,306
image17_49,14,corner,-9,197
image17_49,15,intersection,515,262
image17_49,16,corner,535,221
image11_18,0,intersection,288,262
image11_18,1,corner,132,236
image11_18,2,endpoint,549,256
image11_18,3,intersection,112,261
image11_18,4,endpoint,0,249
image11_18,5,endpoint,269,323
image11_18,6,intersection,302,264
image11_18,7,intersection,418,249
image11_18,8,intersection,145,259
image11_18,9,endpoint,228,187
image11_18,10,intersection,396,266
image11_18,11,corner,301,240
image11_18,12,endpoint,162,313
image11_18,13,corner,214,233
image11_18,14,intersection,207,254
image11_18,15,intersection,222,255
image11_18,16,endpoint,315,183
image2_10,0,intersection,493,455
image2_10,1,corner,485,451
image2_10,2,corner,491,522
image2_10,3,corner,528,526
image2_10,4,corner,520,438
image2_10,5,corner,485,-7
image2_10,6,intersection,28,445
image2_10,7,corner,-24,514
image2_10,8,corner,-5,437
image2_10,9,corner,42,541
image2_10,10,corner,495,425
image20_11,0,intersection,280,356
image20_11,1,intersection,153,364
image20_11,2,intersection,161,318
image20_11,3,corner,495,484
image20_11,4,corner,35,373
image20_11,5,intersection,383,314
image20_11,6,circle,259,183
image20_11,7,intersection,239,356
image20_11,8,corner,138,353
image20_11,9,corner,139,316
image20_11,10,intersection,397,364
image20_11,11,corner,488,372
image20_11,12,corner,36,481
image20_11,13,corner,364,313
image15_38,0,corner,411,261
image15_38,1,corner,59,60
image15_38,2,intersection,435,263
image15_38,3,corner,238,362
image15_38,4,corner,283,299
image15_38,5,corner,180,260
image15_38,6,corner,314,313
image15_38,7,corner,353,267
image15_38,8,intersection,166,201
image15_38,9,corner,409,70
image15_38,10,corner,237,135
image15_38,11,corner,57,432
image15_38,12,intersection,177,325
image15_38,13,corner,112,263
image15_38,14,corner,309,225
image15_38,15,corner,283,229
image15_38,16,intersection,308,210
image15_38,17,corner,412,180
image15_38,18,corner,406,242
image15_38,19,corner,192,188
image15_38,20,endpoint,461,254
image15_38,21,corner,161,202
image15_38,22,corner,398,457
image15_38,23,intersection,309,322
image2_43,0,endpoint,528,528
image2_43,1,corner,475,-1
image2_43,2,corner,524,448
image2_43,3,endpoint,36,527
image9_9,0,corner,118,386
image9_9,1,corner,134,111
image9_9,2,corner,390,116
image9_9,3,corner,460,455
image9_9,4,corner,382,390
image9_9,5,corner,63,457
image9_9,6,corner,473,45
image9_9,7,corner,58,55
image2_39,0,corner,50,461
image2_39,1,corner,448,364
image2_39,2,corner,454,409
image2_39,3,corner,443,410
image2_39,4,corner,102,423
image2_39,5,corner,468,453
image2_39,6,corner,76,466
image2_39,7,corner,416,371
image2_39,8,corner,73,414
image2_39,9,intersection,445,390
image2_39,10,corner,346,86
image2_39,11,intersection,96,409
image2_39,12,corner,421,57
image2_39,13,corner,437,460
image14_13,0,intersection,442,263
image14_13,1,intersection,96,272
image14_13,2,intersection,300,193
image14_13,3,corner,240,370
image14_13,4,intersection,313,188
image14_13,5,endpoint,370,102
image14_13,6,intersection,189,334
image14_13,7,endpoint,-28,273
image14_13,8,corner,94,245
image14_13,9,endpoint,530,265
image14_13,10,intersection,185,322
image14_13,11,endpoint,105,417
image14_13,12,corner,255,159
image10_21,0,endpoint,198,286
image10_21,1,circle,258,256
image10_21,2,intersection,181,184
image10_21,3,corner,174,197
image10_21,4,endpoint,364,359
image10_21,5,endpoint,281,197
image8_9,0,endpoint,37,377
image8_9,1,corner,259,76
image8_9,2,endpoint,454,380
image8_9,3,circle,268,266
image14_24,0,intersection,191,330
image14_24,1,intersection,200,318
image14_24,2,endpoint,116,426
image14_24,3,endpoint,541,258
image14_24,4,endpoint,-9,248
image14_24,5,intersection,311,180
image14_24,6,endpoint,372,101
image14_24,7,intersection,303,184
image14_24,8,corner,250,154
image14_24,9,corner,258,356
image14_24,10,intersection,452,270
image14_24,11,intersection,90,254
image19_41,0,corner,136,241
image19_41,1,corner,134,488
image19_41,2,intersection,227,228
image19_41,3,intersection,347,227
image19_41,4,corner,393,495
image19_41,5,corner,339,199
image19_41,6,corner,381,234
image19_41,7,corner,156,93
image19_8,0,corner,97,517
image19_8,1,intersection,304,235
image19_8,2,corner,113,229
image19_8,3,corner,419,544
image19_8,4,intersection,211,218
image19_8,5,corner,411,234
image10_12,0,corner,212,196
image10_12,1,intersection,222,199
image10_12,2,endpoint,350,346
image10_12,3,corner,199,211
image10_12,4,endpoint,279,208
image10_12,5,endpoint,202,278
image10_12,6,circle,248,245
image5_4,0,corner,321,359
image5_4,1,corner,203,364
image5_4,2,corner,89,-22
image5_4,3,intersection,211,265
image5_4,4,intersection,318,278
image5_4,5,corner,159,103
image5_4,6,corner,367,407
image5_4,7,intersection,216,243
image5_4,8,corner,204,162
image5_4,9,corner,443,535
image5_4,10,intersection,313,235
image5_4,11,corner,200,274
image5_4,12,corner,438,3
image5_4,13,corner,184,391
image5_4,14,corner,218,284
image5_4,15,corner,311,149
image5_4,16,corner,67,539
image5_4,17,corner,201,214
image5_4,18,corner,341,123
image3_47,0,corner,469,384
image3_47,1,intersection,294,89
image3_47,2,corner,-6,390
image3_47,3,corner,81,204
image3_47,4,intersection,293,373
image3_47,5,corner,287,336
image3_47,6,corner,322,72
image3_47,7,corner,189,63
image3_47,8,corner,484,479
image3_47,9,corner,223,334
image3_47,10,intersection,510,186
image3_47,11,corner,295,317
image3_47,12,intersection,458,193
image3_47,13,intersection,216,55
image3_47,14,intersection,432,156
image3_47,15,corner,56,365
image3_47,16,intersection,223,87
image3_47,17,corner,239,293
image3_47,18,intersection,274,364
image3_47,19,intersection,291,75
image3_47,20,intersection,454,117
image3_47,21,corner,206,62
image21_25,0,corner,286,167
image21_25,1,endpoint,377,62
image21_25,2,corner,186,158
image21_25,3,intersection,238,267
image21_25,4,intersection,302,260
image21_25,5,corner,315,371
image21_25,6,corner,297,331
image21_25,7,corner,216,337
image21_25,8,corner,238,190
image21_25,9,corner,383,463
image21_25,10,corner,334,151
image21_25,11,corner,186,353
image21_25,12,endpoint,116,447
image22_20,0,endpoint,253,541
image22_20,1,corner,432,-18
image22_20,2,intersection,278,175
image22_20,3,intersection,91,-7
image22_20,4,intersection,257,169
image22_20,5,intersection,255,-17
image22_20,6,endpoint,97,60
image17_31,0,corner,492,197
image17_31,1,corner,21,309
image17_31,2,intersection,357,199
image17_31,3,circle,428,252
image17_31,4,corner,498,311
image17_31,5,corner,19,201
image17_31,6,intersection,364,315
image22_22,0,intersection,259,170
image22_22,1,endpoint,76,-16
image22_22,2,endpoint,453,-34
image22_22,3,endpoint,251,541
image15_34,0,corner,421,271
image15_34,1,corner,47,74
image15_34,2,intersection,430,258
image15_34,3,corner,211,363
image15_34,4,corner,285,301
image15_34,5,corner,176,256
image15_34,6,corner,309,318
image15_34,7,corner,350,274
image15_34,8,intersection,167,202
image15_34,9,corner,410,69
image15_34,10,corner,234,132
image15_34,11,corner,62,427
image15_34,12,intersection,175,323
image15_34,13,corner,105,270
image15_34,14,corner,287,219
image15_34,15,corner,284,230
image15_34,16,intersection,308,210
image15_34,17,corner,423,191
image15_34,18,corner,408,238
image15_34,19,corner,184,180
image15_34,20,endpoint,478,237
image15_34,21,corner,147,208
image15_34,22,corner,406,449
image15_34,23,intersection,300,313
image22_3,0,corner,272,187
image22_3,1,intersection,261,190
image22_3,2,endpoint,268,470
image22_3,3,intersection,280,199
image22_3,4,intersection,259,55
image22_3,5,corner,114,44
image22_3,6,corner,394,55
image22_16,0,endpoint,257,537
image22_16,1,corner,442,-8
image22_16,2,intersection,274,171
image22_16,3,corner,81,-17
image22_16,4,intersection,254,172
image22_16,5,intersection,249,-23
image22_14,0,endpoint,243,449
image22_14,1,corner,389,55
image22_14,2,intersection,277,200
image22_14,3,corner,119,47
image22_14,4,intersection,270,178
image22_14,5,intersection,271,47
image16_40,0,intersection,380,263
image16_40,1,corner,257,140
image16_40,2,corner,523,201
image16_40,3,corner,268,260
image16_40,4,intersection,264,269
image16_40,5,corner,-10,136
image16_40,6,corner,536,331
image16_40,7,corner,-6,372
image16_40,8,corner,251,232
image16_40,9,corner,242,379
image16_40,10,corner,371,313
image16_40,11,corner,388,185
image6_3,0,endpoint,316,441
image6_3,1,corner,310,238
image6_3,2,endpoint,347,268
image6_3,3,endpoint,303,60
image6_3,4,endpoint,188,84
image6_3,5,endpoint,190,432
image6_3,6,corner,315,267
image6_3,7,intersection,322,250
image13_49,0,corner,285,389
image13_49,1,endpoint,2,287
image13_49,2,intersection,299,172
image13_49,3,corner,198,78
image13_49,4,corner,339,337
image13_49,5,endpoint,28,189
image13_49,6,corner,360,174
image13_49,7,intersection,359,305
image13_49,8,intersection,473,289
image13_49,9,endpoint,515,270
image13_49,10,endpoint,54,86
image13_49,11,endpoint,90,382
image15_33,0,corner,403,253
image15_33,1,corner,37,64
image15_33,2,intersection,412,240
image15_33,3,corner,229,381
image15_33,4,corner,296,304
image15_33,5,corner,171,251
image15_33,6,corner,311,302
image15_33,7,corner,369,255
image15_33,8,intersection,189,224
image15_33,9,corner,395,62
image15_33,10,corner,237,111
image15_33,11,corner,61,454
image15_33,12,intersection,178,316
image15_33,13,corner,101,274
image15_33,14,corner,293,209
image15_33,15,corner,285,231
image15_33,16,intersection,298,200
image15_33,17,corner,416,184
image15_33,18,corner,410,240
image15_33,19,corner,178,180
image15_33,20,endpoint,460,255
image15_33,21,corner,151,212
image15_33,22,corner,415,440
image15_33,23,intersection,300,313
image15_41,0,corner,431,46
image15_41,1,corner,211,114
image15_41,2,corner,375,275
image15_41,3,corner,99,260
image15_41,4,intersection,161,228
image15_41,5,corner,255,383
image15_41,6,endpoint,52,488
image15_41,7,corner,223,391
image15_41,8,corner,127,223
image15_41,9,intersection,463,248
image15_41,10,intersection,153,314
image15_41,11,intersection,326,307
image15_41,12,endpoint,16,43
image15_41,13,endpoint,496,238
image15_41,14,corner,442,259
image15_41,15,corner,433,483
image15_41,16,corner,441,234
image15_41,17,intersection,344,234
image15_41,18,corner,303,289
image15_41,19,corner,311,230
image15_41,20,intersection,246,122
image15_41,21,corner,166,295
image15_41,22,endpoint,225,90
image19_18,0,corner,417,532
image19_18,1,corner,408,231
image19_18,2,corner,341,208
image19_18,3,intersection,234,212
image19_18,4,corner,99,221
image19_18,5,intersection,338,235
image19_18,6,corner,114,530
image18_4,0,intersection,39,332
image18_4,1,corner,514,320
image18_4,2,corner,-12,164
image18_4,3,intersection,528,318
image18_4,4,corner,496,308
image18_4,5,corner,507,157
image18_4,6,corner,495,388
image18_4,7,corner,-7,328
image18_4,8,intersection,55,161
image18_4,9,corner,521,193
image18_4,10,corner,526,172
image18_4,11,corner,548,309
image18_4,12,corner,511,100
image18_4,13,intersection,514,164
image18_4,14,corner,61,375
image18_4,15,corner,45,117
image20_45,0,corner,361,377
image20_45,1,intersection,408,372
image20_45,2,corner,128,347
image20_45,3,corner,44,512
image20_45,4,intersection,215,379
image20_45,5,corner,106,158
image20_45,6,corner,15,404
image20_45,7,corner,346,321
image20_45,8,corner,5,505
image20_45,9,corner,505,392
image20_45,10,corner,513,534
image20_45,11,corner,177,387
image20_45,12,intersection,258,365
image20_45,13,intersection,326,351
image20_45,14,intersection,385,349
image20_45,15,intersection,141,386
image8_46,0,intersection,240,97
image8_46,1,corner,27,391
image8_46,2,endpoint,252,49
image8_46,3,intersection,272,113
image8_46,4,intersection,53,405
image8_46,5,intersection,485,392
image8_46,6,endpoint,260,151
image16_18,0,corner,245,367
image16_18,1,corner,249,237
image16_18,2,corner,455,320
image16_18,3,corner,259,267
image16_18,4,corner,367,320
image16_18,5,intersection,274,256
image16_18,6,corner,255,170
image16_18,7,corner,445,220
image16_18,8,corner,51,169
image16_18,9,corner,51,359
image16_18,10,corner,354,208
image16_18,11,intersection,344,259
image16_29,0,corner,269,230
image16_29,1,corner,54,163
image16_29,2,corner,472,216
image16_29,3,intersection,257,249
image16_29,4,corner,356,209
image16_29,5,corner,459,309
image16_29,6,corner,358,317
image16_29,7,corner,262,153
image16_29,8,corner,63,347
image16_29,9,intersection,256,265
image16_29,10,corner,259,359
image16_29,11,intersection,345,259
image16_29,12,endpoint,265,291
image5_45,0,corner,438,536
image5_45,1,intersection,270,375
image5_45,2,corner,206,212
image5_45,3,corner,283,418
image5_45,4,intersection,351,190
image5_45,5,corner,80,532
image5_45,6,corner,264,299
image5_45,7,corner,444,0
image5_45,8,corner,87,-6
image5_45,9,corner,356,350
image5_45,10,endpoint,355,110
image5_45,11,intersection,317,268
image5_45,12,corner,366,142
image5_45,13,corner,223,355
image5_45,14,corner,219,289
image5_45,15,corner,201,149
image5_45,16,corner,364,231
image5_45,17,endpoint,196,405
image5_45,18,intersection,278,257
image5_45,19,corner,342,388
image3_9,0,circle,260,303
image3_9,1,corner,413,363
image3_9,2,corner,113,418
image3_9,3,corner,409,407
image3_9,4,corner,121,355
image21_28,0,corner,292,173
image21_28,1,corner,375,40
image21_28,2,corner,200,160
image21_28,3,intersection,232,253
image21_28,4,intersection,290,248
image21_28,5,corner,336,350
image21_28,6,corner,312,324
image21_28,7,corner,215,338
image21_28,8,corner,226,178
image21_28,9,corner,114,67
image21_28,10,corner,372,476
image21_28,11,corner,327,158
image21_28,12,corner,188,363
image21_28,13,corner,135,454
image4_27,0,corner,50,441
image4_27,1,corner,470,50
image4_27,2,corner,447,455
image4_27,3,corner,408,457
image4_27,4,intersection,87,457
image4_27,5,intersection,405,459
image4_27,6,corner,42,68
image4_27,7,corner,112,452
image1_10,0,corner,497,-10
image1_10,1,corner,1,484
image1_10,2,intersection,21,539
image1_10,3,intersection,521,451
image1_10,4,intersection,22,463
image1_10,5,corner,0,437
image1_10,6,corner,8,-11
image1_10,7,corner,504,542
image1_10,8,endpoint,94,562
image6_2,0,endpoint,305,432
image6_2,1,corner,329,257
image6_2,2,endpoint,370,245
image6_2,3,endpoint,304,61
image6_2,4,endpoint,196,64
image6_2,5,endpoint,212,454
image6_2,6,corner,322,260
image6_2,7,intersection,324,252
image12_47,0,corner,181,361
image12_47,1,intersection,114,298
image12_47,2,corner,106,107
image12_47,3,corner,109,345
image12_47,4,endpoint,412,99
image12_47,5,corner,412,302
image12_47,6,endpoint,532,276
image12_47,7,corner,361,111
image12_47,8,intersection,431,280
image12_47,9,corner,415,259
image12_47,10,endpoint,3,288
image12_47,11,corner,172,410
image12_47,12,intersection,421,166
image12_47,13,corner,363,140
image12_47,14,corner,405,402
image12_47,15,corner,413,169
image12_47,16,intersection,143,369
image12_47,17,intersection,408,137
image2_26,0,corner,47,388
image2_26,1,corner,478,471
image2_26,2,corner,427,452
image2_26,3,corner,413,48
image2_26,4,intersection,433,392
image2_26,5,corner,464,403
image2_26,6,corner,63,462
image2_26,7,intersection,92,404
image2_26,8,corner,76,467
image11_7,0,endpoint,230,185
image11_7,1,intersection,197,261
image11_7,2,endpoint,555,272
image11_7,3,intersection,207,250
image11_7,4,intersection,298,254
image11_7,5,intersection,308,256
image11_7,6,intersection,411,263
image11_7,7,endpoint,49,257
image11_7,8,endpoint,320,196
image11_7,9,corner,118,242
image11_7,10,intersection,117,267
image11_7,11,intersection,146,244
image11_7,12,endpoint,186,328
image11_7,13,endpoint,267,322
image11_7,14,corner,223,221
image11_7,15,intersection,406,271
image11_7,16,corner,307,241
image11_37,0,endpoint,477,246
image11_37,1,intersection,278,263
image11_37,2,corner,294,238
image11_37,3,endpoint,191,316
image11_37,4,endpoint,256,287
image11_37,5,corner,340,353
image11_37,6,endpoint,65,250
image11_37,7,endpoint,227,200
image11_37,8,corner,287,346
image11_37,9,intersection,152,269
image11_37,10,corner,152,239
image11_37,11,intersection,371,254
image11_37,12,intersection,147,269
image11_37,13,intersection,360,260
