g_id,node,chem
molecule_3235,1,C
molecule_3235,2,C
molecule_3235,3,C
molecule_3235,4,C
molecule_3235,5,C
molecule_3235,6,C
molecule_3235,7,C
molecule_3235,8,C
molecule_3235,9,C
molecule_3235,10,C
molecule_3235,11,C
molecule_3235,12,C
molecule_3235,13,C
molecule_3235,14,C
molecule_3235,15,C
molecule_3235,16,C
molecule_3235,17,C
molecule_3235,18,C
molecule_3235,19,C
molecule_3235,20,H
molecule_3235,21,H
molecule_3235,22,H
molecule_3235,23,H
molecule_3235,24,H
molecule_3235,25,H
molecule_3235,26,H
molecule_3235,27,H
molecule_3235,28,H
molecule_3235,29,H
molecule_3235,30,H
molecule_3235,31,H
molecule_3235,32,H
molecule_3235,33,H
molecule_2793,1,C
molecule_2793,2,C
molecule_2793,3,C
molecule_2793,4,C
molecule_2793,5,C
molecule_2793,6,C
molecule_2793,7,C
molecule_2793,8,C
molecule_2793,9,C
molecule_2793,10,C
molecule_2793,11,C
molecule_2793,12,C
molecule_2793,13,C
molecule_2793,14,C
molecule_2793,15,C
molecule_2793,16,C
molecule_2793,17,C
molecule_2793,18,O
molecule_2793,19,C
molecule_2793,20,C
molecule_2793,21,S
molecule_2793,22,C
molecule_2793,23,O
molecule_2793,24,O
molecule_2793,25,O
molecule_2793,26,H
molecule_2793,27,H
molecule_2793,28,H
molecule_2793,29,H
molecule_2793,30,H
molecule_2793,31,H
molecule_2793,32,H
molecule_2793,33,H
molecule_2793,34,H
molecule_2793,35,H
molecule_2793,36,H
molecule_2793,37,H
molecule_4076,1,C
molecule_4076,2,C
molecule_4076,3,C
molecule_4076,4,O
molecule_4076,5,C
molecule_4076,6,C
molecule_4076,7,C
molecule_4076,8,C
molecule_4076,9,C
molecule_4076,10,C
molecule_4076,11,C
molecule_4076,12,C
molecule_4076,13,C
molecule_4076,14,O
molecule_4076,15,C
molecule_4076,16,O
molecule_4076,17,C
molecule_4076,18,C
molecule_4076,19,O
molecule_4076,20,C
molecule_4076,21,O
molecule_4076,22,C
molecule_4076,23,O
molecule_4076,24,C
molecule_4076,25,C
molecule_4076,26,O
molecule_4076,27,O
molecule_4076,28,C
molecule_4076,29,C
molecule_4076,30,C
molecule_4076,31,C
molecule_4076,32,C
molecule_4076,33,C
molecule_4076,34,O
molecule_4076,35,C
molecule_4076,36,C
molecule_4076,37,C
molecule_4076,38,O
molecule_4076,39,C
molecule_4076,40,C
molecule_4076,41,C
molecule_4076,42,C
molecule_4076,43,C
molecule_4076,44,C
molecule_4076,45,C
molecule_4076,46,C
molecule_4076,47,C
molecule_4076,48,C
molecule_4076,49,H
molecule_4076,50,H
molecule_4076,51,H
molecule_4076,52,H
molecule_4076,53,H
molecule_4076,54,H
molecule_4076,55,H
molecule_4076,56,H
